CustomerID,LookalikeID,Score
C0001,C0048,0.9819853750873861
C0001,C0190,0.9645645406703428
C0001,C0184,0.9452655643190451
C0002,C0088,0.9418254632036008
C0002,C0077,0.8707528324697137
C0002,C0083,0.856226645907152
C0003,C0031,0.8988952378262751
C0003,C0076,0.8950732451862412
C0003,C0052,0.8941415092346843
C0004,C0087,0.9496300111231721
C0004,C0169,0.9453568481820108
C0004,C0155,0.9399533712642506
C0005,C0186,0.9974522198413518
C0005,C0007,0.9866014226650415
C0005,C0140,0.9858906900154507
C0006,C0168,0.9530950775029938
C0006,C0187,0.8966391497366636
C0006,C0011,0.8729463402052112
C0007,C0005,0.9866014226650415
C0007,C0115,0.9824891708444753
C0007,C0140,0.9770100375729348
C0008,C0065,0.877873136422503
C0008,C0090,0.8772166789113719
C0008,C0139,0.8510043594309683
C0009,C0198,0.9877124134049184
C0009,C0061,0.9675742876925902
C0009,C0062,0.9270887276066541
C0010,C0111,0.8898810981388352
C0010,C0062,0.8798257718464788
C0010,C0061,0.8539347491387718
C0011,C0137,0.9278074276715227
C0011,C0174,0.8902621960614556
C0011,C0191,0.8788426901588383
C0012,C0163,0.9656272995536173
C0012,C0113,0.9603729996597477
C0012,C0195,0.9431363133086033
C0013,C0099,0.986055964481909
C0013,C0108,0.9645029726359434
C0013,C0155,0.8992608882496098
C0014,C0060,0.9994801538718718
C0014,C0097,0.954631926488553
C0014,C0128,0.9508129387569119
C0015,C0131,0.9851467246540206
C0015,C0036,0.9772888838015857
C0015,C0058,0.9527468267977457
C0016,C0183,0.9762922704797871
C0016,C0067,0.8589350266194619
C0016,C0030,0.8305120495738081
C0017,C0075,0.9761074550257519
C0017,C0041,0.9329072806379738
C0017,C0175,0.899995282851896
C0018,C0046,0.8773567716985886
C0018,C0122,0.8409161439369918
C0018,C0068,0.773320027459392
C0019,C0172,0.8079992034753255
C0019,C0081,0.7612235868376822
C0019,C0121,0.7536887885109124
C0020,C0015,0.94264811110894
C0020,C0140,0.9389564640928115
C0020,C0186,0.9192983224369844
